
117	1,452991	0,484330		2,564103	47,863248	100,000000
88	1,954545	0,651515		45,454545	53,409091	97,727273
88	1,954545	0,651515		36,363636	60,227273	98,863636
86	2,000000	0,666667		52,325581	34,883721	100,000000
124	1,266129	0,422043		54,032258	45,967742	16,129032
103	1,524272	0,508091		67,961165	63,106796	7,766990
100	1,700000	0,566667		40,000000	52,000000	91,000000
117	1,341880	0,447293		36,752137	91,452991	6,837607
115	1,321739	0,440580		39,130435	30,434783	54,782609
114	1,508772	0,502924		28,947368	40,350877	75,438596
