
117	1,452991	0,484330		2,564103	47,863248	100,000000
86	2,000000	0,666667		43,023256	65,116279	93,023256
81	2,123457	0,707819		49,382716	65,432099	98,765432
86	2,000000	0,666667		52,325581	34,883721	100,000000
124	1,266129	0,422043		54,032258	41,129032	20,161290
103	1,524272	0,508091		67,961165	68,932039	2,912621
101	1,683168	0,561056		32,673267	55,445545	84,158416
113	1,389381	0,463127		54,867257	93,805310	7,079646
115	1,321739	0,440580		39,130435	30,434783	54,782609
114	1,508772	0,502924		28,947368	40,350877	75,438596
