
58	1,672414	0,557471		56,896552	39,655172	51,724138
260	0,873077	0,291026		66,153846	26,923077	9,230769
206	1,407767	0,469256		100,000000	8,737864	46,116505
279	1,354839	0,451613		70,967742	41,577061	15,412186
77	1,623377	0,541126		28,571429	27,272727	66,233766
117	1,452991	0,484330		2,564103	47,863248	100,000000
256	1,410156	0,470052		62,109375	17,187500	55,468750
256	1,410156	0,470052		62,109375	17,187500	55,468750
256	1,410156	0,470052		62,109375	17,187500	55,468750
275	1,316364	0,438788		85,090909	39,636364	10,545455
275	1,316364	0,438788		85,090909	39,636364	10,545455
